#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-9.963987,5,8.079818
-9.99987,3,8.082818
-14.989724,6,8.086948
-19.967985,6,8.09286
-9.998346,3,8.094819
-9.999313,5,8.099101
-9.999911,5,8.1021
-9.967985,3,8.105101
-9.981562,4,8.109189
-9.9576,6,8.115179
-9.956721,4,8.117692
-9.967984,4,8.120692
-9.99786,3,8.124869
-14.961418,7,8.13042
-9.998277,4,8.13242
-9.998627,3,8.135495
-9.967913,3,8.138798
-9.958108,5,8.141799
-9.993074,4,8.146017
-9.978273,3,8.147516
-14.97377,5,8.151516
-14.967985,5,8.156513
-14.998316,4,8.159513
-9.967985,3,8.162513
9.871098,8,8.263643
-9.998408,3,8.265896
-9.967985,3,8.268678
-9.959277,5,8.271677
-9.967985,2,8.27268
-14.999262,6,8.278603
-9.991857,6,8.282602
-9.998624,5,8.2856
-9.99917,5,8.289645
-9.962056,4,8.29165
-9.998786,3,8.295905
-14.997915,6,8.299848
-9.999043,4,8.301847
-9.993406,3,8.305197
-9.999294,3,8.307714
-9.958296,4,8.311748
-9.999804,5,8.315783
-9.999236,3,8.318533
-14.999592,4,8.320553
-14.967973,6,8.325882
-9.999344,4,8.329769
-9.990084,5,8.333795
-9.959708,3,8.335807
-9.999372,3,8.337837
-9.94775,4,8.342817
-14.9917,5,8.346923
-7.982326,8,8.456101
-9.979558,4,8.458966
-9.998882,3,8.460946
-9.998216,4,8.466033
-9.995629,3,8.467784
-9.997952,5,8.470783
-9.998837,4,8.473783
-9.998504,3,8.476074
-9.953973,5,8.481081
-9.995465,3,8.48308
-9.989281,4,8.485079
-14.987959,4,8.48808
-14.995912,5,8.49208
-9.994216,6,8.497379
-9.999745,3,8.500406
-9.999337,3,8.502406
-9.957624,6,8.507278
-14.952092,6,8.513266
-9.999905,5,8.517741
-9.999752,4,8.520407
-12.407149,8,8.627014
-9.997909,3,8.631013
-9.997465,6,8.636379
-14.993486,5,8.640518
-9.998349,4,8.644372
-9.922797,5,8.650674
-9.931611,6,8.655674
-9.999677,4,8.658673
-9.974075,3,8.660673
-9.992244,5,8.66798
-9.999892,7,8.672939
-14.999641,4,8.676372
-9.992935,3,8.680349
-9.99886,6,8.686817
-9.994619,5,8.690798
-9.996184,3,8.6928
-9.947514,4,8.698652
-9.995675,4,8.701649
-14.978576,4,8.704649
-9.993322,3,8.70665
-9.967985,2,8.708871
-9.99339,3,8.713652
-14.937986,5,8.7204
-9.998812,3,8.723713
-9.997992,4,8.727759
-9.999105,7,8.734782
-9.996126,4,8.737059
