#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.98299,7,7.342202
-9.97894,3,7.345713
-9.978349,3,7.349721
-9.990736,4,7.353719
-9.9968,5,7.357719
-9.978344,4,7.361721
-9.973541,6,7.368721
-9.978374,3,7.370721
-9.968241,5,7.374792
-9.948853,6,7.380309
-9.977006,6,7.386307
-9.977424,3,7.388306
-9.978809,3,7.392307
-9.97515,3,7.394306
-19.975696,6,7.399634
-9.998414,3,7.401634
-9.973694,5,7.406709
-14.978878,6,7.410707
-9.97136,5,7.414708
-14.994963,5,7.421569
-9.97913,3,7.424576
-9.996671,4,7.427317
-14.954571,6,7.432317
-9.974569,5,7.436367
-14.989893,5,7.441125
-9.997196,4,7.444125
-14.952116,6,7.449132
-14.958674,5,7.453226
-9.97371,4,7.457132
-14.99567,5,7.461132
-9.993524,5,7.466282
-14.996925,4,7.469194
-9.984812,3,7.47314
-14.945917,7,7.479132
-9.978322,3,7.482131
-9.990158,4,7.485131
-14.992872,6,7.49013
-9.997191,4,7.49213
-14.996341,5,7.496235
-9.99331,4,7.499216
-9.991831,4,7.503217
-14.9597,3,7.506358
-9.998538,5,7.510215
-9.996681,4,7.513216
-14.976861,5,7.51929
-14.981586,6,7.52429
1.928614,8,7.636185
-9.97886,3,7.640186
-9.993214,4,7.643183
-9.988557,3,7.646308
-14.977603,4,7.649184
-9.991895,3,7.652184
-14.975052,6,7.657276
-9.996866,4,7.661276
-9.977272,3,7.663275
-9.989761,4,7.666292
-14.997169,7,7.672294
-9.979054,2,7.674294
-9.997063,4,7.678294
-9.989377,7,7.683293
-14.981925,6,7.689407
-9.999171,6,7.693407
-9.990646,5,7.697698
-9.978885,4,7.701426
-9.991142,4,7.704375
-9.994159,3,7.706377
3.976392,8,7.802056
-14.958732,5,7.805056
-9.980887,5,7.810023
-9.997005,3,7.812057
-9.998014,3,7.815318
-9.994875,4,7.818166
-9.992308,5,7.821166
-14.995824,7,7.827148
-9.978739,3,7.829152
-9.973223,4,7.833186
-14.931882,5,7.836182
-9.996632,5,7.839182
-9.977091,7,7.845182
-9.974691,3,7.8472
-9.987252,4,7.853183
-9.986188,4,7.858148
-9.997495,3,7.862148
-9.979054,2,7.864642
-9.979054,2,7.867158
-14.959603,4,7.869158
-9.996601,5,7.87417
-9.985799,4,7.879159
-9.965474,4,7.882205
-9.997552,3,7.885186
-9.972731,5,7.889159
-9.993678,5,7.89551
-9.978999,3,7.898519
-9.991092,4,7.901518
-9.99534,4,7.905047
-7.372051,8,8.020236
-9.979054,2,8.022236
-14.959133,5,8.026236
-9.998493,3,8.028237
-9.995786,4,8.035147
-9.951093,6,8.039133
-9.97749,5,8.04313
-9.976324,5,8.048133
-9.978641,3,8.051132
-9.979054,2,8.052132
-9.969835,6,8.057133
-9.997056,4,8.061135
-9.973829,5,8.067316
-9.997206,5,8.070317
-9.990665,8,8.076389
-19.97635,6,8.081388
-9.997627,3,8.084388
-9.977724,4,8.087321
-9.963528,8,8.09432
-9.99129,4,8.09747
-9.969234,4,8.101318
-14.991536,6,8.105319
-9.964277,4,8.109372
-9.978801,4,8.112321
-9.99813,3,8.115564
-14.95713,3,8.118499
-14.985949,4,8.121633
-9.997567,3,8.125147
-9.988717,6,8.133149
-14.997756,5,8.139457
-9.996358,3,8.141146
-19.987665,6,8.146377
-9.979,3,8.149146
-9.974267,5,9.897124
-0.674628,8,10.042212
-9.995728,3,10.046357
-9.996307,4,10.051212
-9.999007,3,10.055214
-9.995549,4,10.059212
-14.978943,5,10.063212
-9.997481,4,10.066738
-14.975214,6,10.072739
-9.997427,5,10.077353
-9.975882,3,10.079352
-9.973038,7,10.087425
-14.980357,4,10.091423
-9.973898,4,10.094424
-9.97395,5,10.099316
-9.97427,5,10.103316
-9.979371,5,10.107316
-14.983358,7,10.112316
-9.979054,2,10.115212
-14.994548,7,10.122174
-9.997984,4,10.125171
-9.997375,3,10.128408
-9.978223,4,10.131326
-9.977052,5,10.136392
-9.979054,2,10.138325
-9.984329,4,10.141325
